,doc_hdr_id,doc_typ_nm,doc_crte_dt,crte_dt,doc_mdfn_dt,actn_rqst_cd,prncpl_nm,grp_nm,qual_role_nm,fld_nm,fld_val
185,41022327,UGS.CommitteeV2.Doctype,02-Jul-15,10-Jul-15,08-Jul-15,A,0,0,dthurmon,minor1,Diabetes and Obesity
186,41022327,UGS.CommitteeV2.Doctype,02-Jul-15,10-Jul-15,08-Jul-15,A,0,0,dthurmon,minor2,
187,41907571,UGS-MAAdvancedDegree.ParentDoctype,05-Aug-15,06-Aug-15,05-Aug-15,A,mecvance,0,0,campus,IN
188,41907571,UGS-MAAdvancedDegree.ParentDoctype,05-Aug-15,06-Aug-15,05-Aug-15,A,mecvance,0,0,department,IN-COMM
189,41907571,UGS-MAAdvancedDegree.ParentDoctype,05-Aug-15,06-Aug-15,05-Aug-15,A,mecvance,0,0,major,IN-APLCMMA
190,42077559,UGS.Candidacy.Doctype,12-Aug-15,12-Aug-15,12-Aug-15,A,apirzade,0,0,campus,IN
191,42077559,UGS.Candidacy.Doctype,12-Aug-15,12-Aug-15,12-Aug-15,A,apirzade,0,0,department1,IN-INFO
192,42077559,UGS.Candidacy.Doctype,12-Aug-15,12-Aug-15,12-Aug-15,A,apirzade,0,0,department2,Select
193,42077559,UGS.Candidacy.Doctype,12-Aug-15,12-Aug-15,12-Aug-15,A,apirzade,0,0,major1,IN-INFOPHD
194,42077559,UGS.Candidacy.Doctype,12-Aug-15,12-Aug-15,12-Aug-15,A,apirzade,0,0,major2,
195,42077559,UGS.Candidacy.Doctype,12-Aug-15,12-Aug-15,12-Aug-15,A,apirzade,0,0,concentration1,
196,42077559,UGS.Candidacy.Doctype,12-Aug-15,12-Aug-15,12-Aug-15,A,apirzade,0,0,concentration2,
